date,time,tweet
27/02/2023,,Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación
27/02/2023,,Esta padrisima la tarjeta!!
27/02/2023,,"Está muy bonito, me hace considerar adquirir la tarjeta"
27/02/2023,,Gracias. Ya le mande todos mis datos de mi tarjeta.
27/02/2023,,"Sí, sin problema:D"
27/02/2023,,"No es problema de ,es ellos son los que tienen la falla. Dalay."
27/02/2023,,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema."
27/02/2023,,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también."
27/02/2023,,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección."
27/02/2023,,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.
27/02/2023,,Que bien! 👍🏼
28/02/2023,,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑"
28/02/2023,,Esta bien
28/02/2023,,"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!"
28/02/2023,,"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!"
01/03/2023,,"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero"
02/03/2023,,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)"
02/03/2023,,Mucho exito! heybanco
02/03/2023,,. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco)
03/03/2023,,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria"
03/03/2023,,¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕
03/03/2023,,"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼"
03/03/2023,,Ustedes son mi banco y la verdad lo estan haciendo muy bien!
03/03/2023,,Definitivamente👆🏽
04/03/2023,,Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄
04/03/2023,,Gracias la transferencia fue aplicada al día siguiente
06/03/2023,,"Gracias, ya lo resolví jajaja, me equivoqué"
06/03/2023,,Quedó aclarado el tema. Gracias.
07/03/2023,,Bank run!!!
07/03/2023,,Les respondí por privado. Saludos!
07/03/2023,,eso es bueno saberlo
08/03/2023,,Gracias por la información 🙏
08/03/2023,,Gracias!
08/03/2023,,Listo!!!
08/03/2023,,"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠"
08/03/2023,,"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita"
08/03/2023,,La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.
09/03/2023,,"Gracias, ya les contesté"
09/03/2023,,ayuda!!!
09/03/2023,,"Si gracias, les volví a contestar hace un par de horas"
09/03/2023,,"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️"
10/03/2023,,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥"
11/03/2023,,"Yeah, son los mejores a pesar del veto"
12/03/2023,,Muchas gracias!
12/03/2023,,"solucionado, muchas gracias 🫶🏼"
12/03/2023,,Ya se puede
13/03/2023,,Gracias!
13/03/2023,,Gracias :)
13/03/2023,,"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono."
13/03/2023,,Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback
13/03/2023,,Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠
13/03/2023,,"Bueno, es que yo si pude ya."
13/03/2023,,Excelente!!
13/03/2023,,Excelente
13/03/2023,,Muy bien excelente
13/03/2023,,"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁"
13/03/2023,,es excelente! Yo eh trabajo varios años con ellos y todo perfecto
14/03/2023,,Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.
14/03/2023,,Wooow que emoción
14/03/2023,,🥳 Nunca me gano nada.Pero hoy empeze bien mi día 👍🏻
14/03/2023,,Exito🏳️‍🌈🏳️‍🌈
15/03/2023,,"Ya les contesté, gracias"
15/03/2023,,Listos !!!!!!!!
15/03/2023,,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano"
15/03/2023,,"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses."
15/03/2023,,Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada
15/03/2023,,En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito
16/03/2023,,Muchas gracias por la información ahí nos vemos el 3 de Junio
16/03/2023,,Pues bueno... xd
16/03/2023,,Es una DJ increíble
16/03/2023,,Muchas graciasQuedo en esperaSaludos.
16/03/2023,,Un festival 100% tercermundista. ¡Felicidades!
16/03/2023,,La Supermana hermosa 💕
17/03/2023,,Gracias por el seguimiento!
17/03/2023,,mi primera tdc 💳💓 thx
17/03/2023,,Gracias por su respuesta
17/03/2023,,"Gracias, espero su pronta respuesta de agradecimiento"
17/03/2023,,Estoy sorprendido como permite que se organicen esas cosas. 🤮
18/03/2023,,"Gracias, como siempre super buena y rápida, la atención de su pae."
19/03/2023,,Muchas gracias :)
21/03/2023,,"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos."
22/03/2023,,Gracias
22/03/2023,,Hey ya no nos hagan sufrir más a los de la dinámica de tikitoki jajaja 😭💖
23/03/2023,,Que tal buen dia. Necesito ayuda.
23/03/2023,,"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️"
23/03/2023,,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
24/03/2023,,Saludos bro. Gracias por ver los vídeos.
24/03/2023,,Gracias!
24/03/2023,,"Gracias, tocayo. Soy tu fan. ;)"
24/03/2023,,¡Hola! Permíteme conocer más de tu caso vía mensaje privado para poder dae la atención necesaria y rápida. ¡Saludos!
24/03/2023,,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
24/03/2023,,o fácil
25/03/2023,,Gracias
25/03/2023,,"Hola! Ntp después de otros intentos me pudieron asistir, gracias!"
26/03/2023,,Si la anualidad es de $999. Si juntas $100k estas libre de la anualidad. Mucho mejor que ese pedazo de metal VISA Standard
26/03/2023,,"exacto, todas son duales"
26/03/2023,,Por eso Fondeadora Metal es World Elite;)
28/03/2023,,Ok gracias
28/03/2023,,"Gracias a Dios, JAJAJA."
28/03/2023,,igual a mi con amazon.
28/03/2023,,This is the oppounity of a lifetime! Gotta watch this web3 developer's MEV strategy video and learn how to make some serious cash with crypto.
28/03/2023,,"Ese hombre merece que le mandes además de tan grata felicitación una foto especial, única y sin censura autografiada x la Diosa de TW."
28/03/2023,,Que Dios le pague con muchos hijos.
28/03/2023,,Mándamela a mi!! Yo se la hago llegar !! Jajaja. Chido que te resolvió !
28/03/2023,,Le mando un beso tronado y apretón de nalga a Ángel Argüello de que en dos horas me resolvió un asunto que llevaba 59 días estancado. Agradecida con el de abajo 🥺
29/03/2023,,"No te había dicho que conozco a Angel, pero es muy tímido, si gustas yo le hago llegar el presente"
29/03/2023,,"Gracias, ya recibí el código 👍"
29/03/2023,,Ser agradecida. Y si es con el de abajo mejor...
29/03/2023,,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden"
29/03/2023,,Jajaja muy bien!
29/03/2023,,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
29/03/2023,,Amigues por primera vez en mi vida gane una dinámica JAJAJAJAJA Gracias no gane el pastel pero si esta dinámica ✨
30/03/2023,,Teniendo tantas juntas de Cashback y viendo los beneficios me dan ganas de sacar mis tarjetas de &amp;
30/03/2023,,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio…"
31/03/2023,,"Gracias, supongo que es así por semana santa, correcto? Saludos!"
31/03/2023,,"Gracias, estaré pendiente a qué me responda"
31/03/2023,,"Es que hay un secreto para que te contesten rápido, te lo cuento cuando estemos bebiendo y no, ojalá me paguen, me resuelven súper rápido."
01/04/2023,,Muchas gracias!
01/04/2023,,Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!
03/04/2023,,Gracias a Tamos readys en PalNoe 🦁
03/04/2023,,"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️"
03/04/2023,,"Habla al número que está en la tarjeta, yo lo hice así y no tuve ningún problema en españa ;)"
03/04/2023,,This web3 developer's MEV strategy is a game-changer. He's making over 5 ETH per week and you need to learn how!
04/04/2023,,"Te cuento lo que hice Yo tampoco tenía Historial pero tenía la de Nubank y hasta ahí todo bien, posterior fui con Heybanco, y realmente no interesaba usar su tarjeta.Pero vi que tenía un pagare y me interesóMe registre a la cuenta, no solicite plástico ni nada"
06/04/2023,,Ya resolví gracias
06/04/2023,,Gracias por darnos agüita en para no morir de disentería por el agua puerca de los bebedores de 🤢
08/04/2023,,Buenas tardes
08/04/2023,,"¿Adivinen dónde estoy?¡Que buena experiencia, !"
11/04/2023,,"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech"
11/04/2023,,"4/ La gran ventaja de es su experiencia de 5 años en el mercado, ganando terreno entre los jóvenes por sus servicios y por patrocinar festivales de música, lo que les permite crecer junto con sus clientes."
13/04/2023,,Gracias les volví a contestar el dm
13/04/2023,,"Gracias hey banco, solucionaron el problema."
14/04/2023,,Muchísimas gracias
14/04/2023,,Muchas gracias por su respuesta tan pronta.
14/04/2023,,"gracias por la pronta devolución, me sirvio para pagarle a"
15/04/2023,,Muchas gracias mando DM a la brevedad
15/04/2023,,No má gracias tío estuvo fantástico este descuento del 50% en mi checkup en
17/04/2023,,"Super, gracias."
18/04/2023,,"Correcto, esperaré el contacto por pae de ustedes para arreglar la situación de mi inversión hey pro al 10%"
19/04/2023,,muchas gracias
19/04/2023,,"Excelente, muchas gracias por su sopoe, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂"
19/04/2023,,Muchas gracias. Voy a comunicarme entonces.
19/04/2023,,"Están en proceso de resolver según mensajes que me están enviando los de hey banco, saludos."
12/05/2023,,Gracias
12/05/2023,,Ya me llego gracias
12/05/2023,,"Un gusto saludae Erich, ponemos a tu disposición nuestra cuenta de correo electrónico en la que con gusto atenderemos tus dudas, escríbenos: asesoria@condusef.gob.mx , recuerda que CONDUSEF te apoya."
12/05/2023,,el mejor banco &lt;3
12/05/2023,,"Uno de los productos más esperados del año!!!! En YouTube ya tenemos el unboxing, activación y pequeña navegación por el app de la tarjeta metálica de ! Les compao el link del video: TarjetaDeCrédito HeyBanco"
13/05/2023,,Es la mejor que he visto hasta ahora
15/05/2023,,Excelente muchas gracias
15/05/2023,,muchas gracias por su respuesta!
15/05/2023,,"Llamar para pelear a me resta tiempo, kilos, neuronas, prácticamente me resta vida ese banco pitero."
15/05/2023,,"hola, excelente tarde, me podrían ayudar con algo. Les mandé DM, por favor, muchas gracias 🙏"
15/05/2023,,Me encanta que HeyBanco ya te manda notificación cuando se hace el cobro 🤙🏼
15/05/2023,,tienen algún tiempo estimado de respuesta
15/05/2023,,"Conociendo la contraseña y el usuario, se puede entrar fácilmente desde otro dispositivo y sin que te llegue algún tipo de notificación por vía SMS y correo electrónico, esto lo sabes muy bien"
15/05/2023,,Eso explica todo
16/05/2023,,"Hola si, hoy por la mañana ya tenía de nuevo mi usuario y funcionó con normalidad mi app"
16/05/2023,,¡CON RAZÓN!
16/05/2023,,"Yo tengo la de garantía 😸, pero creo que voy bien, hasta cuántos meses se puede la de las normales, tengo inversión, nómina y cuenta de débitos ahi :)"
16/05/2023,,Que bueno que no cambie mi nómina a
16/05/2023,,Gracias por avisar
16/05/2023,,"Buen día, les envié un mensaje, espero me puedan ayudar. Gracias."
16/05/2023,,"Buenos días, una vez más sigo en espera"
17/05/2023,,Gracias ya quedó resuelto
17/05/2023,,Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉👉🏼https://t.co/b6iYPqXW4F
17/05/2023,,solicito apoyo
17/05/2023,,Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉…
18/05/2023,,Ya quedó. Muchas gracias.
18/05/2023,,Tqm ❤️❤️
19/05/2023,,"Ok, gracias"
19/05/2023,,Jajaja. Siii. Muchos días. 😒 chale
19/05/2023,,Todo resuelto Gracias equipo
20/05/2023,,"Agradecido con que me ayudaron con una aclaración rapidísimo, cada día más feliz de haber dejado la banca tradicional por ustedes! 🙌"
21/05/2023,,Muchas gracias 🫶
21/05/2023,,Hola buen día
22/05/2023,,Gracias !
22/05/2023,,"Listo, enviado! Saludos"
22/05/2023,,Me gusta heybanco para bajarles el mandado a los bancos españoles que dominan este país
23/05/2023,,yo presumiendo el 10% anual de HeyBanco y que Klar decide sacar 14%… muy tentador
23/05/2023,,YA RESUELVEME ME URGE HACER UNA COMPRA
23/05/2023,,"Recomiendo ampliamente que usen y como alternativas a los llamados bancos tradicionales. Si sus bancos les están cobrando alguna comisión de cualquier tipo en sus cuentas de débito o peor aún, no están generando nada, entonces están en el lugar incorrecto."
24/05/2023,,Gracias. Saludos
24/05/2023,,"Si, bueno me dijeron que tenía que marcar. Y si quedo."
24/05/2023,,Ay si pasó ya afounadamente. Jejeje.
25/05/2023,,Gracias! Ya les respondi!
25/05/2023,,Jaja nel
27/05/2023,,"Okay, Gracias"
27/05/2023,,Ya funcionó nuevamente la aplicación
27/05/2023,,"Me contestan a mi también, pero ya"
29/05/2023,,"Listo, ya se los mandé , gracias ."
29/05/2023,,Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…
