date,time,tweet
2023-02-16,,"Pues más vale, la verdad"
2023-02-16,,Ya está todo listo..
2023-02-17,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10
2023-02-17,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.
2023-02-17,,"Gracias por la respuesta, estaré al pendiente"
2023-02-18,,Hola buenas tardes
2023-02-18,,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe"
2023-02-20,,Gracias
2023-02-20,,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita
2023-02-21,,Hola!!!
2023-02-23,,Saludos a
2023-02-23,,"real esa tarjeta es la neta, en general el banco es 10/10"
2023-02-23,,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻"
2023-02-23,,como puedo inveir con ustedes y como se genera las ganancias para uno
2023-02-24,,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.
2023-02-24,,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado
2023-02-24,,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔"
2023-02-25,,"Gracias, hasta ahorita los amo 💙"
2023-02-26,,Gracias bro
2023-02-26,,"Gracias, ya lo envié."
2023-02-26,,"Gracias por responder, quedo en espera de la solución al problema."
2023-02-26,,yo hice varias transferencias hace rato y todo bien
2023-02-26,,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente
2023-02-26,,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco
2023-02-26,,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario."
2023-02-26,,“Agradecemos tu comprensión” jaja increíble
2023-02-26,,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.
2023-02-27,,Gracias ya les respondí
2023-02-27,,Listo!! Gracias
2023-02-27,,Perfecto! Gracias ☺️
2023-02-27,,Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación
2023-02-27,,Esta padrisima la tarjeta!!
2023-02-27,,"Está muy bonito, me hace considerar adquirir la tarjeta"
2023-02-27,,Gracias. Ya le mande todos mis datos de mi tarjeta.
2023-02-27,,"Sí, sin problema:D"
2023-02-27,,"No es problema de ,es ellos son los que tienen la falla. Dalay."
2023-02-27,,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema."
2023-02-27,,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también."
2023-02-27,,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección."
2023-02-27,,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.
2023-02-27,,Que bien! 👍🏼
2023-02-28,,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑"
2023-02-28,,Esta bien
2023-02-28,,"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!"
2023-02-28,,"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!"
2023-03-01,,"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero"
2023-03-02,,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)"
2023-03-02,,Mucho exito! heybanco
2023-03-02,,. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco)
2023-03-03,,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria"
2023-03-03,,¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕
2023-03-03,,"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼"
2023-03-03,,Ustedes son mi banco y la verdad lo estan haciendo muy bien!
2023-03-03,,Definitivamente👆🏽
2023-03-04,,Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄
2023-03-04,,Gracias la transferencia fue aplicada al día siguiente
2023-03-06,,"Gracias, ya lo resolví jajaja, me equivoqué"
2023-03-06,,Quedó aclarado el tema. Gracias.
2023-03-07,,Bank run!!!
2023-03-07,,Les respondí por privado. Saludos!
2023-03-07,,eso es bueno saberlo
2023-03-08,,Gracias por la información 🙏
2023-03-08,,Gracias!
2023-03-08,,Listo!!!
2023-03-08,,"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠"
2023-03-08,,"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita"
2023-03-08,,La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.
2023-03-09,,"Gracias, ya les contesté"
2023-03-09,,ayuda!!!
2023-03-09,,"Si gracias, les volví a contestar hace un par de horas"
2023-03-09,,"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️"
2023-03-10,,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥"
2023-03-11,,"Yeah, son los mejores a pesar del veto"
2023-03-12,,Muchas gracias!
2023-03-12,,"solucionado, muchas gracias 🫶🏼"
2023-03-12,,Ya se puede
2023-03-13,,Gracias!
2023-03-13,,Gracias :)
2023-03-13,,"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono."
2023-03-13,,Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback
2023-03-13,,Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠
2023-03-13,,"Bueno, es que yo si pude ya."
2023-03-13,,Excelente!!
2023-03-13,,Excelente
2023-03-13,,Muy bien excelente
2023-03-13,,"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁"
2023-03-13,,es excelente! Yo eh trabajo varios años con ellos y todo perfecto
2023-03-14,,Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.
2023-03-14,,Wooow que emoción
2023-03-14,,🥳 Nunca me gano nada.Pero hoy empeze bien mi día 👍🏻
2023-03-14,,Exito🏳️‍🌈🏳️‍🌈
2023-03-15,,"Ya les contesté, gracias"
2023-03-15,,Listos !!!!!!!!
2023-03-15,,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano"
2023-03-15,,"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses."
2023-03-15,,Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada
2023-03-15,,En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito
2023-03-16,,Muchas gracias por la información ahí nos vemos el 3 de Junio
2023-03-16,,Pues bueno... xd
2023-03-16,,Es una DJ increíble
2023-03-16,,Muchas graciasQuedo en esperaSaludos.
2023-03-16,,Un festival 100% tercermundista. ¡Felicidades!
2023-03-16,,La Supermana hermosa 💕
2023-03-17,,Gracias por el seguimiento!
2023-03-17,,mi primera tdc 💳💓 thx
2023-03-17,,Gracias por su respuesta
2023-03-17,,"Gracias, espero su pronta respuesta de agradecimiento"
2023-03-17,,Estoy sorprendido como permite que se organicen esas cosas. 🤮
2023-03-18,,"Gracias, como siempre super buena y rápida, la atención de su pae."
2023-03-19,,Muchas gracias :)
2023-03-21,,"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos."
2023-03-22,,Gracias
2023-03-22,,Hey ya no nos hagan sufrir más a los de la dinámica de tikitoki jajaja 😭💖
2023-03-23,,Que tal buen dia. Necesito ayuda.
2023-03-23,,"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️"
2023-03-23,,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
2023-03-24,,Saludos bro. Gracias por ver los vídeos.
2023-03-24,,Gracias!
2023-03-24,,"Gracias, tocayo. Soy tu fan. ;)"
2023-03-24,,¡Hola! Permíteme conocer más de tu caso vía mensaje privado para poder dae la atención necesaria y rápida. ¡Saludos!
2023-03-24,,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
2023-03-24,,o fácil
2023-03-25,,Gracias
2023-03-25,,"Hola! Ntp después de otros intentos me pudieron asistir, gracias!"
2023-03-26,,Si la anualidad es de $999. Si juntas $100k estas libre de la anualidad. Mucho mejor que ese pedazo de metal VISA Standard
2023-03-26,,"exacto, todas son duales"
2023-03-26,,Por eso Fondeadora Metal es World Elite;)
2023-03-28,,Ok gracias
2023-03-28,,"Gracias a Dios, JAJAJA."
2023-03-28,,igual a mi con amazon.
2023-03-28,,This is the oppounity of a lifetime! Gotta watch this web3 developer's MEV strategy video and learn how to make some serious cash with crypto.
2023-03-28,,"Ese hombre merece que le mandes además de tan grata felicitación una foto especial, única y sin censura autografiada x la Diosa de TW."
2023-03-28,,Que Dios le pague con muchos hijos.
2023-03-28,,Mándamela a mi!! Yo se la hago llegar !! Jajaja. Chido que te resolvió !
2023-03-28,,Le mando un beso tronado y apretón de nalga a Ángel Argüello de que en dos horas me resolvió un asunto que llevaba 59 días estancado. Agradecida con el de abajo 🥺
2023-03-29,,"No te había dicho que conozco a Angel, pero es muy tímido, si gustas yo le hago llegar el presente"
2023-03-29,,"Gracias, ya recibí el código 👍"
2023-03-29,,Ser agradecida. Y si es con el de abajo mejor...
2023-03-29,,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden"
2023-03-29,,Jajaja muy bien!
2023-03-29,,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
2023-03-29,,Amigues por primera vez en mi vida gane una dinámica JAJAJAJAJA Gracias no gane el pastel pero si esta dinámica ✨
2023-03-30,,Teniendo tantas juntas de Cashback y viendo los beneficios me dan ganas de sacar mis tarjetas de &amp;
2023-03-30,,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio…"
2023-03-31,,"Gracias, supongo que es así por semana santa, correcto? Saludos!"
2023-03-31,,"Gracias, estaré pendiente a qué me responda"
2023-03-31,,"Es que hay un secreto para que te contesten rápido, te lo cuento cuando estemos bebiendo y no, ojalá me paguen, me resuelven súper rápido."
2023-04-01,,Muchas gracias!
2023-04-01,,Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!
2023-04-03,,Gracias a Tamos readys en PalNoe 🦁
2023-04-03,,"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️"
2023-04-03,,"Habla al número que está en la tarjeta, yo lo hice así y no tuve ningún problema en españa ;)"
2023-04-03,,This web3 developer's MEV strategy is a game-changer. He's making over 5 ETH per week and you need to learn how!
2023-04-04,,"Te cuento lo que hice Yo tampoco tenía Historial pero tenía la de Nubank y hasta ahí todo bien, posterior fui con Heybanco, y realmente no interesaba usar su tarjeta.Pero vi que tenía un pagare y me interesóMe registre a la cuenta, no solicite plástico ni nada"
2023-04-06,,Ya resolví gracias
2023-04-06,,Gracias por darnos agüita en para no morir de disentería por el agua puerca de los bebedores de 🤢
2023-04-08,,Buenas tardes
2023-04-08,,"¿Adivinen dónde estoy?¡Que buena experiencia, !"
2023-04-11,,"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech"
2023-04-11,,"4/ La gran ventaja de es su experiencia de 5 años en el mercado, ganando terreno entre los jóvenes por sus servicios y por patrocinar festivales de música, lo que les permite crecer junto con sus clientes."
2023-04-13,,Gracias les volví a contestar el dm
2023-04-13,,"Gracias hey banco, solucionaron el problema."
2023-04-14,,Muchísimas gracias
2023-04-14,,Muchas gracias por su respuesta tan pronta.
2023-04-14,,"gracias por la pronta devolución, me sirvio para pagarle a"
2023-04-15,,Muchas gracias mando DM a la brevedad
2023-04-15,,No má gracias tío estuvo fantástico este descuento del 50% en mi checkup en
2023-04-17,,"Super, gracias."
2023-04-18,,"Correcto, esperaré el contacto por pae de ustedes para arreglar la situación de mi inversión hey pro al 10%"
2023-04-19,,muchas gracias
2023-04-19,,"Excelente, muchas gracias por su sopoe, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂"
2023-04-19,,Muchas gracias. Voy a comunicarme entonces.
2023-04-19,,"Están en proceso de resolver según mensajes que me están enviando los de hey banco, saludos."
2023-05-12,,Gracias
2023-05-12,,Ya me llego gracias
2023-05-12,,"Un gusto saludae Erich, ponemos a tu disposición nuestra cuenta de correo electrónico en la que con gusto atenderemos tus dudas, escríbenos: asesoria@condusef.gob.mx , recuerda que CONDUSEF te apoya."
2023-05-12,,el mejor banco &lt;3
2023-05-12,,"Uno de los productos más esperados del año!!!! En YouTube ya tenemos el unboxing, activación y pequeña navegación por el app de la tarjeta metálica de ! Les compao el link del video: TarjetaDeCrédito HeyBanco"
2023-05-13,,Es la mejor que he visto hasta ahora
2023-05-15,,Excelente muchas gracias
2023-05-15,,muchas gracias por su respuesta!
2023-05-15,,"Llamar para pelear a me resta tiempo, kilos, neuronas, prácticamente me resta vida ese banco pitero."
2023-05-15,,"hola, excelente tarde, me podrían ayudar con algo. Les mandé DM, por favor, muchas gracias 🙏"
2023-05-15,,Me encanta que HeyBanco ya te manda notificación cuando se hace el cobro 🤙🏼
2023-05-15,,tienen algún tiempo estimado de respuesta
2023-05-15,,"Conociendo la contraseña y el usuario, se puede entrar fácilmente desde otro dispositivo y sin que te llegue algún tipo de notificación por vía SMS y correo electrónico, esto lo sabes muy bien"
2023-05-15,,Eso explica todo
2023-05-16,,"Hola si, hoy por la mañana ya tenía de nuevo mi usuario y funcionó con normalidad mi app"
2023-05-16,,¡CON RAZÓN!
2023-05-16,,"Yo tengo la de garantía 😸, pero creo que voy bien, hasta cuántos meses se puede la de las normales, tengo inversión, nómina y cuenta de débitos ahi :)"
2023-05-16,,Que bueno que no cambie mi nómina a
2023-05-16,,Gracias por avisar
2023-05-16,,"Buen día, les envié un mensaje, espero me puedan ayudar. Gracias."
2023-05-16,,"Buenos días, una vez más sigo en espera"
2023-05-17,,Gracias ya quedó resuelto
2023-05-17,,Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉👉🏼https://t.co/b6iYPqXW4F
2023-05-17,,solicito apoyo
2023-05-17,,Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉…
2023-05-18,,Ya quedó. Muchas gracias.
2023-05-18,,Tqm ❤️❤️
2023-05-19,,"Ok, gracias"
2023-05-19,,Jajaja. Siii. Muchos días. 😒 chale
2023-05-19,,Todo resuelto Gracias equipo
2023-05-20,,"Agradecido con que me ayudaron con una aclaración rapidísimo, cada día más feliz de haber dejado la banca tradicional por ustedes! 🙌"
2023-05-21,,Muchas gracias 🫶
2023-05-21,,Hola buen día
2023-05-22,,Gracias !
2023-05-22,,"Listo, enviado! Saludos"
2023-05-22,,Me gusta heybanco para bajarles el mandado a los bancos españoles que dominan este país
2023-05-23,,yo presumiendo el 10% anual de HeyBanco y que Klar decide sacar 14%… muy tentador
2023-05-23,,YA RESUELVEME ME URGE HACER UNA COMPRA
2023-05-23,,"Recomiendo ampliamente que usen y como alternativas a los llamados bancos tradicionales. Si sus bancos les están cobrando alguna comisión de cualquier tipo en sus cuentas de débito o peor aún, no están generando nada, entonces están en el lugar incorrecto."
2023-05-24,,Gracias. Saludos
2023-05-24,,"Si, bueno me dijeron que tenía que marcar. Y si quedo."
2023-05-24,,Ay si pasó ya afounadamente. Jejeje.
2023-05-25,,Gracias! Ya les respondi!
2023-05-25,,Jaja nel
2023-05-27,,"Okay, Gracias"
2023-05-27,,Ya funcionó nuevamente la aplicación
2023-05-27,,"Me contestan a mi también, pero ya"
2023-05-29,,"Listo, ya se los mandé , gracias ."
2023-05-29,,Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…
