date,time,tweet,car,pal,reviewText,sentNLTK,sentSpnsh,sentTransf
2023-01-17,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",196,36,"muchas gracias , ayudó suficiente , cargo procedió , poaron bn aun pude comunicar teléfono , amables , mil gracias interés hizo cargo",0,0.3217661160525055,5
2023-01-17,,"Increíble, gracias HeyBanco!!@heybanco",38,3,"increíble , gracias heybanco ! ! @ heybanco",0,0.8891096296665113,5
2023-01-17,,Me contestaron que sí.,22,4,contestaron .,0,0.49789225920557484,1
2023-01-18,,Gracias,7,1,gracias,0,0.5533970533999424,5
2023-01-18,,Gracias!,8,1,gracias !,0,0.5533970533999424,5
2023-01-18,,Graciaaas.,10,1,graciaaas .,0,0.49789225920557484,5
2023-01-18,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",136,24,"gracias pendiente , segura va poner pilas lleguen incentivos , si pidiendo apoyo .",0,0.17501057133403178,2
2023-01-18,,":bolsa_de_dinero:La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",268,53,": bolsa_de_dinero : sexta opción opción mejores , pagaré 7 días mejor mercado tasa 10 % anual solo inversión aquí $ 5,000 , plan metas dan rendimiento me vencido 4 % dinero disponible cualquier momento",0,0.25045931269179766,1
2023-01-18,,:bandera_guatemala: qué buena onda por vos David :manos_aplaudiendo::manos_aplaudiendo: a disfrutarlo!!!,51,10,: bandera_guatemala : buena onda vos david : manos_aplaudiendo : :manos_aplaudiendo : disfrutarlo ! ! !,0,0.6774024187612661,5
2023-01-19,,¡Gracias,8,1,¡gracias,0,0.5533970533999424,5
2023-01-19,,"¡Hola!, me pueden apoyar por favor :cara_haciendo_una_mueca:",36,7,"¡hola ! , pueden apoyar favor : cara_haciendo_una_mueca :",1,0.0037000384650598276,1
2023-01-19,,"Eso se agradece, el aviso :manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio::manos_aplaudiendo_tono_de_piel_claro_medio:",36,6,"agradece , aviso : manos_aplaudiendo_tono_de_piel_claro_medio : :manos_aplaudiendo_tono_de_piel_claro_medio : :manos_aplaudiendo_tono_de_piel_claro_medio : :manos_aplaudiendo_tono_de_piel_claro_medio : :manos_aplaudiendo_tono_de_piel_claro_medio :",0,0.49789225920557484,5
2023-01-19,,"Gracias, ya se ve reflejado. Solucionado. Gracias",49,7,"gracias , ve reflejado . solucionado . gracias",0,0.3514149337853594,5
2023-01-20,,"Listo, gracias!",15,2,"listo , gracias !",0,0.41038161275853924,5
2023-01-20,,Muchas gracias!,15,2,muchas gracias !,0,0.47056419380391146,5
2023-01-20,,Los tkm :palo_de_corazones:,10,3,tkm : palo_de_corazones :,0,0.49789225920557484,5
2023-01-20,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",83,14,"coesía anímense sacar cuenta hey , muchas gracias regalo c : @ nei_aokii",0,0.3511197793357726,5
2023-01-20,,Cof cof también :corazón_rojo::corazón_rojo:,20,4,cof cof : corazón_rojo : :corazón_rojo :,0,0.49789225920557484,3
2023-01-20,,te lo súper recomiendo. Y no te cobran el plástico.,51,10,súper recomiendo . cobran plástico .,0,0.025169945667206865,5
2023-01-20,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! :señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio:",87,18,"afounadamente , méxico , da 10 % cuenta ! : señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio :",0,0.17612827099168357,1
2023-01-21,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",79,12,"muchas gracias darme respuesta , solucionó problema , excelente día !",0,0.5494909514363565,5
2023-01-23,,Gracias !,9,2,gracias !,0,0.5533970533999424,5
2023-01-23,,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",96,18,"muchas gracias , equipo ayudó resolver problema dieron recompensa gané .",1,0.7771807226695439,5
2023-01-23,,Gracias ! Este mes me tocó boletoDorado,39,7,gracias ! me tocó boletodorado,0,0.4076035724456605,5
2023-01-23,,Bello!,6,1,bello !,0,0.49789225920557484,5
2023-01-23,,Aún hay esperanza.. congrats !!,31,5,aún esperanza .. congrats ! !,1,0.2955839137706941,5
2023-01-24,,Gracias :cara_feliz_con_ojos_sonrientes::cara_feliz_con_ojos_sonrientes::cara_feliz_con_ojos_sonrientes:,11,2,gracias : cara_feliz_con_ojos_sonrientes : :cara_feliz_con_ojos_sonrientes : :cara_feliz_con_ojos_sonrientes :,0,0.5533970533999424,5
2023-01-24,,Gracias.,8,1,gracias .,0,0.5533970533999424,5
2023-01-24,,Muchas gracias :señal_de_aprobación_con_la_mano::señal_de_aprobación_con_la_mano:,17,3,muchas gracias : señal_de_aprobación_con_la_mano : :señal_de_aprobación_con_la_mano :,0,0.47056419380391146,5
2023-01-24,,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,68,12,gracias premio boletodorado canjee tarjeta regalo,0,0.25040373948449673,5
2023-01-24,,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,58,12,tío gracias boleto dorado . fin tocó .,0,0.637738695840223,5
2023-01-24,,No mames que buena suee!,24,5,mames buena suee !,0,0.6774024187612661,5
2023-01-24,,"segundo premio, espero lleguen más",34,5,"segundo premio , espero lleguen",0,0.16120236915402097,5
2023-01-25,,Gracias!!!,10,1,gracias ! ! !,0,0.5533970533999424,5
2023-01-25,,Gracias :cara_sonriente:,10,2,gracias : cara_sonriente :,0,0.5533970533999424,5
2023-01-25,,"Hola, esto nos beneficia a los usuarios de",42,8,"hola , beneficia usuarios",0,0.06062516730565888,4
2023-01-26,,Gracias por el apoyo con el seguimiento,39,7,gracias apoyo seguimiento,0,0.5533970533999424,4
2023-01-26,,Gracias tio hey! Esto nos ayuda bastante.,41,7,gracias tio hey ! ayuda bastante .,0,0.3870078415965603,5
2023-01-26,,Muchas gracias Un mes gratis de,31,6,muchas gracias me gratis,1,0.5055552473506694,5
2023-01-27,,Muchísimas gracias ya me resolvió. Saludos!,43,6,muchísimas gracias resolvió . saludos !,0,0.5533970533999424,5
2023-01-27,,Vale gracias :cara_sonriendo_con_ojos_grandes:,14,3,vale gracias : cara_sonriendo_con_ojos_grandes :,0,0.49335716837372656,5
2023-01-27,,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,81,14,funcionó . cayo sólo segundos . raro . muchas gracias,0,0.03841573555396814,1
2023-01-27,,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,72,14,hola escribí dm par dudas tdc.gracias .,0,0.26500557484339743,5
2023-01-27,,Gracias por ser pae de el FC Barcelona,38,8,gracias ser pae fc barcelona,0,0.6622488481531548,5
2023-01-27,,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,146,29,darán crédito tradicional llevo año tarjeta credito garantía cumplido pagos tiempo forma,0,0.0025500493999974063,4
2023-01-28,,Ok gracias,10,2,ok gracias,1,0.5533970533999424,5
2023-01-28,,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",189,36,"despues 1 año probando tarjeta crédito puedo decir buena hablar cuenta débito , realmente temas seguridad transacciones , top . tqm hey .",1,7.43433233152827e-05,5
2023-01-28,,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",268,54,"amistad , usa si usa tarjeta 6 veces me compras $ 100 peso vuelves “ heypro ” inversión da rendimiento 10 % anual súper súper bien comparación bancos inveir 25 años allianz explicó prima suena rebien",0,0.33410301425814803,5
2023-01-28,,Excelente,9,1,excelente,0,0.9633894245446962,5
2023-01-29,,Me gane 2 premios,17,4,gane 2 premios,0,0.49789225920557484,2
2023-01-29,,Amiga explícame!!!,18,2,amiga explícame ! ! !,0,0.20120797568397142,5
2023-01-30,,Muchas gracias por la información!,34,5,muchas gracias información !,0,0.45640459603352873,5
2023-01-30,,ThankU!,7,1,thanku !,0,0.49789225920557484,5
2023-01-30,,"Vientos, gracias",16,2,"vientos , gracias",0,0.5533970533999424,5
2023-01-30,,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,77,12,encantaria presumir premio boleto dorado ... si tan solo existiera ...,0,0.09064597912546381,1
2023-01-31,,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,84,14,pueden proporcionar link invitar gente tener beneficio.gracias,0,0.14511511357411824,5
2023-02-01,,Gracias :manos_aplaudiendo_tono_de_piel_claro_medio:,10,2,gracias : manos_aplaudiendo_tono_de_piel_claro_medio :,0,0.5533970533999424,4
2023-02-01,,"Gracias, lo checo",17,3,"gracias , checo",0,0.5533970533999424,5
2023-02-01,,¿Ya no habrá Viaje Financiero del 2022?:cara_desesperada: estaba muy buena esa información,73,12,¿ya viaje financiero 2022 ? : cara_desesperada : buena información,0,0.6762765097872584,1
2023-02-01,,Gracias por el dato y cómo fue soeo :ojos:?,38,9,gracias dato cómo soeo : ojos : ?,0,0.2725274253285577,1
2023-02-01,,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",120,23,"buen día , me.pueden ayudar realizaron deposito cuenta credito necesito crédito",0,0.054099142719174195,5
2023-02-02,,Muchas gracias,14,2,muchas gracias,0,0.47056419380391146,5
2023-02-02,,Gracias ya se solucionó. Buenas tardes,38,6,gracias solucionó . buenas tardes,0,0.0054705914448244675,5
2023-02-02,,Lo realizaré.Gracias.,21,2,realizaré.gracias .,0,0.5533970533999424,5
2023-02-02,,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,126,23,diciembre gane tarjeta regalo amazon ticket dorado heybanco compre : * emociona señora *,1,0.06606403854071266,5
2023-02-03,,Me funcionó mil gracias,23,4,funcionó mil gracias,0,0.4205677702781785,5
2023-02-03,,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,220,40,gracias necesario . buena opción . momento problemas graf solo adaptarme procesos . aún así creo van buen camino . aunque ocasiones hagan enojar,0,0.4249319459098203,4
2023-02-04,,Mmm. te da el rendimiento del 10% Es buena opción.,50,10,mmm . da rendimiento 10 % buena opción .,0,0.9468046065926086,5
2023-02-04,,Gracias por mi aumento de crédito en mi tarjeta :tarjeta_de_crédito:!! Muy contenta con sus servicios! :palo_de_corazones:,86,16,gracias aumento crédito tarjeta : tarjeta_de_crédito : ! ! contenta servicios ! : palo_de_corazones :,0,0.03631082864406746,5
2023-02-05,,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. :señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio::cara_feliz_con_ojos_sonrientes:,68,12,hablando ajolotes banco sacara tarjeta encanto .. : señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio : :cara_feliz_con_ojos_sonrientes :,0,0.0874208832420654,4
2023-02-07,,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",161,27,"mejor tdc si pudiera realizar pagos adelantado me intereses cuentas , siendo opción excelente usuarios",0,0.9262081755433343,5
2023-02-08,,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",189,33,"casi rindo obtuve ayuda equipo sopoe , afounadamente alguien aquí refirió twitter envíale mensaje privado arregló , gracias , contáctalo ahora .",0,0.05344913408569424,1
2023-02-08,,Gracias por ser el mejor banco :chispas:,32,7,gracias ser mejor banco : chispas :,0,0.9134505758627657,5
2023-02-10,,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",251,42,"heybanco pagarés semanales 10 % anual . , semana obtienes rendimientos puedes reinveir siguiente pagaré ( forma automática ) . generas interés compuesto rápido , muchísimo mejor 11 % anual cetes .",0,0.5063242349914554,5
2023-02-11,,gracias,7,1,gracias,0,0.5533970533999424,5
2023-02-11,,Solucionado. Gracias.,21,2,solucionado . gracias .,0,0.5533970533999424,5
2023-02-11,,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",162,29,"alch , hechate unas investigadas cetes , gmb hey+ . cetes si ocupas investigar chido seguro hey+ heybanco dinero seguro rapido .",0,0.17718090137777087,1
2023-02-11,,Excelente servicio de atención a clientes en HeyBanco 10/10,59,9,excelente servicio atención clientes heybanco 10/10,0,0.9929290288693423,5
2023-02-11,,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho :cara_sonriendo_con_corazones::corazón_negro:,76,16,primera vez gané boleto dorado d'or quiero : cara_sonriendo_con_corazones : :corazón_negro :,0,0.26139068972859086,1
2023-02-13,,Ok muchas gracias :cara_feliz_con_ojos_sonrientes:,19,4,ok muchas gracias : cara_feliz_con_ojos_sonrientes :,1,0.47056419380391146,5
2023-02-13,,Gracias. Porque tengo una duda,30,5,gracias . duda,0,0.8434665917334203,5
2023-02-13,,¡Gracias a ti por formar pae de esta gran familia!,50,10,¡gracias formar pae gran familia !,0,0.9048624278358693,5
2023-02-13,,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",136,28,"después hoy , vida banco favorito dijeron : ten tarjeta regalo eches starbucks relajes rato .",0,0.00018831207489129677,5
2023-02-14,,100 % recomendado la vdd,24,5,100 % recomendado vdd,0,0.6529545818911943,5
2023-02-14,,Para ver si eres fit y viable para seguros de vida! XD,54,12,ver si fit viable seguros vida ! xd,1,0.11148091889137493,5
2023-02-14,,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",134,21,"interesante encontré permisos utiliza aplicación ⁦ @ heybanco⁩ , activada , necesitan ?",0,0.40752511665608687,3
2023-02-15,,:cara_de_desaprobación: Gracias :cara_feliz_con_ojos_sonrientes:,11,3,: cara_de_desaprobación : gracias : cara_feliz_con_ojos_sonrientes :,0,0.5533970533999424,5
2023-02-15,,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),99,20,hola intenta teléfono correo imagen . ( app verdad problemas ),0,0.00026308681179981573,1
2023-02-15,,hola ocupo ayuda con el cambio de número de celular y con mi token,66,14,hola ocupo ayuda cambio número celular token,0,0.004618271064924963,3
2023-02-16,,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",120,24,"eh pensado cambiar nomina , agusto.que bueno dicen sacar tarjeta ahí",0,0.00045629105979519424,1
2023-02-16,,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",97,12,"gracias ! ! ! ! ahora , vi relacion transferencias internacionales ... veo información ?",0,0.010126039968260099,1
2023-02-16,,"Pues más vale, la verdad",24,5,"pues vale , verdad",0,0.09835429347036215,5
2023-02-16,,Ya está todo listo..,20,4,listo ..,0,0.3577312427036041,3
2023-02-17,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,120,23,acaba llegar constancia fiscal año pasado gané $ 2400 noma tener dinero guardado . 10/10,0,0.01876096050767456,1
2023-02-17,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,107,21,jamás menos amex primera anualidad gratis da beneficios compras primer año bonos .,1,0.09749128098951214,5
2023-02-17,,"Gracias por la respuesta, estaré al pendiente",45,7,"gracias respuesta , pendiente",0,0.11843056447726881,1
2023-02-18,,Hola buenas tardes,18,3,hola buenas tardes,0,0.0002864118737251766,5
2023-02-18,,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",101,19,"buen día , muchas gracias ! respondí dm . tardé pensé respondían noche hehe",0,0.24790392118551818,5
2023-02-20,,Gracias,7,1,gracias,0,0.5533970533999424,5
2023-02-20,,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,72,14,tqm gracias poner retiros cajeros hsbc q cerquita,0,0.34161990900993094,1
2023-02-21,,Hola!!!,7,1,hola ! ! !,0,0.06062516730565888,1
2023-02-23,,Saludos a,9,2,saludos,0,0.49789225920557484,4
2023-02-23,,"real esa tarjeta es la neta, en general el banco es 10/10",57,12,"real tarjeta neta , general banco 10/10",0,0.5000089946342845,5
2023-02-23,,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación :cara_sonriendo_con_corazones::mano_haciendo_el_signo_de_cuernos_tono_de_piel_claro:",89,16,": si cuenta nunca pedí física , pediré . gracias recomendación : cara_sonriendo_con_corazones : :mano_haciendo_el_signo_de_cuernos_tono_de_piel_claro :",0,0.003158896036245081,1
2023-02-23,,como puedo inveir con ustedes y como se genera las ganancias para uno,69,13,puedo inveir ustedes genus ganancias,0,0.48305456856470536,5
2023-02-24,,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,75,13,bueno perdí tarjeta necesitaba nueva diseño .,0,0.2223484022608492,3
2023-02-24,,.@heybanco tqm :manos_formando_un_corazón: no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon :cara_de_alivio:con mi boleto dorado,184,34,. @ heybanco tqm : manos_formando_un_corazón : solo mejores bancos producto tdc pagarés bancarios ( inveir ) . además sabe ando foráneo regalo dinerito amazon : cara_de_alivio : boleto dorado,1,0.009773107043795897,1
2023-02-24,,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal:cara_pensativa:",218,36,"hola buen día , solicitar tarjeta diseño nuevo utilizarla ? recién llegarme metálica , embargo atraen diseños coleccionable… quisiera pedir perder metal : cara_pensativa :",0,0.04858306879553366,3
2023-02-25,,"Gracias, hasta ahorita los amo :corazón_azul:",32,6,"gracias , ahorita amo : corazón_azul :",0,0.5533970533999424,5
2023-02-26,,Gracias bro,11,2,gracias bro,0,0.5533970533999424,5
2023-02-26,,"Gracias, ya lo envié.",21,4,"gracias , envié .",0,0.5533970533999424,5
2023-02-26,,"Gracias por responder, quedo en espera de la solución al problema.",66,11,"gracias responder , quedo espera solución problema .",0,0.02711231077554565,3
2023-02-26,,yo hice varias transferencias hace rato y todo bien,51,9,hice varias transferencias hace rato bien,0,0.06904076662268535,4
2023-02-26,,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente,97,17,veces sólo cuestión limpiar chip pasarla ! así solucionado inconveniente,0,0.0666111812256101,3
2023-02-26,,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,73,12,contesta compairles colaboración hice hey banco,0,0.2555846834802542,5
2023-02-26,,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.",83,12,"ah , gracias , mencionas evidente relevancia , excelente comentario .",0,0.6207560320607385,5
