date,tweet,Palabras,procTweet,Sentimiento,relevance,topic
2023-02-02,Gracias ya se solucionó. Buenas tardes,6,gracias solucionó  buenas tardes,1.0,0,misc
2023-02-02,Lo realizaré.Gracias.,2,realizarégracias ,1.0,0,misc
2023-02-02,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,23,diciembre gane tarjeta regalo amazon ticket dorado heybanco compre  * emociona señora *,1.0,1,misc
2023-02-03,Me funcionó mil gracias,4,funcionó mil gracias,1.0,0,misc
2023-02-03,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,40,gracias necesario  buena opción  momento problemas graf solo adaptarme procesos  aún así creo van buen camino  aunque ocasiones hagan enojar,1.0,1,misc
2023-02-04,Mmm. te da el rendimiento del 10% Es buena opción.,10,mmm  da rendimiento 10 % buena opción ,1.0,1,misc
2023-02-04,Gracias por mi aumento de crédito en mi tarjeta :tarjeta_de_crédito:!! Muy contenta con sus servicios! :palo_de_corazones:,16,gracias aumento crédito tarjeta  tarjeta_de_crédito    contenta servicios   palo_de_corazones ,1.0,0,misc
2023-02-05,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. :señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio::cara_feliz_con_ojos_sonrientes:,12,hablando ajolotes banco sacara tarjeta encanto   señal_de_aprobación_con_la_mano_tono_de_piel_claro_medio  cara_feliz_con_ojos_sonrientes ,1.0,0,misc
2023-02-07,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",27,mejor tdc si pudiera realizar pagos adelantado me intereses cuentas  siendo opción excelente usuarios,1.0,1,misc
2023-02-08,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",33,casi rindo obtuve ayuda equipo sopoe  afounadamente alguien aquí refirió twitter envíale mensaje privado arregló  gracias  contáctalo ahora ,0.0,1,misc
2023-02-08,Gracias por ser el mejor banco :chispas:,7,gracias ser mejor banco  chispas ,1.0,0,misc
2023-02-10,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",42,heybanco pagarés semanales 10 % anual   semana obtienes rendimientos puedes reinveir siguiente pagaré ( forma automática )  generas interés compuesto rápido  muchísimo mejor 11 % anual cetes ,1.0,1,misc
2023-02-11,gracias,1,gracias,1.0,0,misc
2023-02-11,Solucionado. Gracias.,2,solucionado  gracias ,1.0,0,misc
2023-02-11,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",29,alch  hechate unas investigadas cetes  gmb hey+  cetes si ocupas investigar chido seguro hey+ heybanco dinero seguro rapido ,1.0,1,misc
2023-02-11,Excelente servicio de atención a clientes en HeyBanco 10/10,9,excelente servicio atención clientes heybanco 10/10,1.0,1,misc
2023-02-11,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho :cara_sonriendo_con_corazones::corazón_negro:,16,primera vez gané boleto dorado d'or quiero  cara_sonriendo_con_corazones  corazón_negro ,0.0,0,misc
2023-02-13,Ok muchas gracias :cara_feliz_con_ojos_sonrientes:,4,ok muchas gracias  cara_feliz_con_ojos_sonrientes ,1.0,0,misc
2023-02-13,Gracias. Porque tengo una duda,5,gracias  duda,1.0,0,misc
2023-02-13,¡Gracias a ti por formar pae de esta gran familia!,10,gracias formar pae gran familia ,1.0,0,misc
2023-02-13,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",28,después hoy  vida banco favorito dijeron  ten tarjeta regalo eches starbucks relajes rato ,1.0,1,misc
2023-02-14,100 % recomendado la vdd,5,100 % recomendado vdd,1.0,1,misc
2023-02-14,Para ver si eres fit y viable para seguros de vida! XD,12,ver si fit viable seguros vida  xd,1.0,0,misc
2023-02-14,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",21,interesante encontré permisos utiliza aplicación ⁦ @ heybanco⁩  activada  necesitan ?,0.0,1,support
2023-02-15,:cara_de_desaprobación: Gracias :cara_feliz_con_ojos_sonrientes:,3, cara_de_desaprobación  gracias  cara_feliz_con_ojos_sonrientes ,0.0,0,misc
2023-02-15,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),20,hola intenta teléfono correo imagen  ( app verdad problemas ),0.0,1,support
2023-02-15,hola ocupo ayuda con el cambio de número de celular y con mi token,14,hola ocupo ayuda cambio número celular token,0.0,1,support
2023-02-16,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",24,eh pensado cambiar nomina  agustoque bueno dicen sacar tarjeta ahí,0.0,1,misc
2023-02-16,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",12,gracias     ahora  vi relacion transferencias internacionales  veo información ?,0.0,1,support
2023-02-16,"Pues más vale, la verdad",5,pues vale  verdad,1.0,0,misc
2023-02-16,Ya está todo listo..,4,listo ,1.0,0,misc
2023-02-17,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,23,acaba llegar constancia fiscal año pasado gané $ 2400 noma tener dinero guardado  10/10,0.0,1,misc
2023-02-17,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,21,jamás menos amex primera anualidad gratis da beneficios compras primer año bonos ,1.0,1,misc
2023-02-17,"Gracias por la respuesta, estaré al pendiente",7,gracias respuesta  pendiente,0.0,0,misc
2023-02-18,Hola buenas tardes,3,hola buenas tardes,0.0,0,support
2023-02-18,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",19,buen día  muchas gracias  respondí dm  tardé pensé respondían noche hehe,1.0,0,misc
2023-02-20,Gracias,1,gracias,1.0,0,misc
2023-02-20,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,14,tqm gracias poner retiros cajeros hsbc q cerquita,1.0,0,misc
2023-02-21,Hola!!!,1,hola   ,0.0,0,support
2023-02-23,Saludos a,2,saludos,1.0,0,misc
2023-02-23,"real esa tarjeta es la neta, en general el banco es 10/10",12,real tarjeta neta  general banco 10/10,1.0,1,misc
2023-02-23,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación :cara_sonriendo_con_corazones::mano_haciendo_el_signo_de_cuernos_tono_de_piel_claro:",16, si cuenta nunca pedí física  pediré  gracias recomendación  cara_sonriendo_con_corazones  mano_haciendo_el_signo_de_cuernos_tono_de_piel_claro ,0.0,1,misc
2023-02-23,como puedo inveir con ustedes y como se genera las ganancias para uno,13,puedo inveir ustedes genus ganancias,1.0,1,support
2023-02-24,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,13,bueno perdí tarjeta necesitaba nueva diseño ,0.0,0,misc
2023-02-24,.@heybanco tqm :manos_formando_un_corazón: no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon :cara_de_alivio:con mi boleto dorado,34, @ heybanco tqm  manos_formando_un_corazón  solo mejores bancos producto tdc pagarés bancarios ( inveir )  además sabe ando foráneo regalo dinerito amazon  cara_de_alivio  boleto dorado,0.0,1,misc
2023-02-24,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal:cara_pensativa:",36,hola buen día  solicitar tarjeta diseño nuevo utilizarla ? recién llegarme metálica  embargo atraen diseños coleccionable… quisiera pedir perder metal  cara_pensativa ,0.0,1,support
2023-02-25,"Gracias, hasta ahorita los amo :corazón_azul:",6,gracias  ahorita amo  corazón_azul ,1.0,0,misc
2023-02-26,Gracias bro,2,gracias bro,1.0,0,misc
2023-02-26,"Gracias, ya lo envié.",4,gracias  envié ,1.0,0,misc
2023-02-26,"Gracias por responder, quedo en espera de la solución al problema.",11,gracias responder  quedo espera solución problema ,0.0,0,misc
2023-02-26,yo hice varias transferencias hace rato y todo bien,9,hice varias transferencias hace rato bien,1.0,0,misc
2023-02-26,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente,17,veces sólo cuestión limpiar chip pasarla  así solucionado inconveniente,1.0,0,misc
2023-02-26,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,12,contesta compairles colaboración hice hey banco,1.0,0,misc
2023-02-26,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.",12,ah  gracias  mencionas evidente relevancia  excelente comentario ,1.0,0,misc
2023-02-26,“Agradecemos tu comprensión” jaja increíble,5,“ agradecemos comprensión ” jaja increíble,1.0,0,misc
2023-02-26,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.,17,correcto  bbva bbva problemas  hey avisaron 7 aproximadamente ,0.0,0,misc
2023-02-27,Gracias ya les respondí,4,gracias respondí,1.0,0,misc
2023-02-27,Listo!! Gracias,2,listo   gracias,1.0,0,misc
2023-02-27,Perfecto! Gracias :cara_sonriente:,3,perfecto  gracias  cara_sonriente ,1.0,0,misc
2023-02-27,Pero que tremenda sabiduría :manos_aplaudiendo: me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito :tarjeta_de_crédito: :cara_gritando_de_miedo: que tremenda explicación,48,tremenda sabiduría  manos_aplaudiendo  quede anonadado mensaje creía cantidad ponía garantía utilizaba niños alimento indigentes después entregaban tarjeta crédito  tarjeta_de_crédito   cara_gritando_de_miedo  tremenda explicación,1.0,1,misc
2023-02-27,Esta padrisima la tarjeta!!,4,padrisima tarjeta  ,0.0,0,misc
2023-02-27,"Está muy bonito, me hace considerar adquirir la tarjeta",9,bonito  hace considerar adquirir tarjeta,1.0,1,misc
2023-02-27,Gracias. Ya le mande todos mis datos de mi tarjeta.,10,gracias  mande datos tarjeta ,1.0,0,misc
2023-02-27,"Sí, sin problema:D",3, problema  d,0.0,0,misc
2023-02-27,"No es problema de ,es ellos son los que tienen la falla. Dalay.",13,problema  falla  dalay ,0.0,1,misc
2023-02-27,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema.",11,pf…  sigues intermitencias… solo hey banco  bbva problema ,0.0,0,misc
2023-02-27,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también.",18,primera sido chichen itza ? esperando  modelo bonito ,0.0,1,support
2023-02-27,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.",10,bbva bancoppel  do trabajan perfección ,1.0,0,misc
2023-02-27,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.,44,entiendo agradezco comentario sugerencia gustaría recibir notificación correo texto servicio disponible caer situación sirve mucha utilidad tarjeta gustaría seguir ustedes ,1.0,1,misc
2023-02-27,Que bien! :pulgar_hacia_arriba_tono_de_piel_claro_medio:,3,bien   pulgar_hacia_arriba_tono_de_piel_claro_medio ,0.0,0,misc
2023-02-28,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!:abeja::chispas::corona:",10,siento poderosa    gracias  contenta      abeja  chispas  corona ,1.0,0,misc
